15:20:28.326 [main] INFO  com.solvd.itcompany.Runner - The name of the constructor: com.solvd.itcompany.ITCompany
15:20:28.327 [main] INFO  com.solvd.itcompany.Runner - The fields of the class: 

15:20:28.327 [main] INFO  com.solvd.itcompany.Runner - name
15:20:28.327 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
15:20:28.327 [main] INFO  com.solvd.itcompany.Runner - employees
15:20:28.328 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
15:20:28.328 [main] INFO  com.solvd.itcompany.Runner - clients
15:20:28.328 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
15:20:28.328 [main] INFO  com.solvd.itcompany.Runner - projects
15:20:28.328 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
15:20:28.328 [main] INFO  com.solvd.itcompany.Runner - projectStatus
15:20:28.328 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
15:20:28.328 [main] INFO  com.solvd.itcompany.Runner - logger
15:20:28.329 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private static final
15:20:28.329 [main] INFO  com.solvd.itcompany.Runner - Method Modifiers: public
15:20:28.329 [main] INFO  com.solvd.itcompany.Runner - Return Type: java.lang.String
15:20:28.329 [main] INFO  com.solvd.itcompany.Runner - Method name: getName
15:20:28.330 [main] INFO  com.solvd.itcompany.Runner - Parameters: 
15:20:28.330 [main] INFO  com.solvd.itcompany.Runner - Method Modifiers: public
15:20:28.330 [main] INFO  com.solvd.itcompany.Runner - Return Type: void
15:20:28.330 [main] INFO  com.solvd.itcompany.Runner - Method name: setName
15:20:28.330 [main] INFO  com.solvd.itcompany.Runner - Parameters: 
15:20:28.330 [main] INFO  com.solvd.itcompany.Runner -  java.lang.String
15:20:28.330 [main] INFO  com.solvd.itcompany.Runner - Method Modifiers: public
15:20:28.330 [main] INFO  com.solvd.itcompany.Runner - Return Type: java.util.ArrayList
15:20:28.330 [main] INFO  com.solvd.itcompany.Runner - Method name: getEmployees
15:20:28.331 [main] INFO  com.solvd.itcompany.Runner - Parameters: 
