21:46:45.425 [main] INFO  com.solvd.itcompany.Runner - The name of the constructor: com.solvd.itcompany.ITCompany
21:46:45.426 [main] INFO  com.solvd.itcompany.Runner - The fields of the class: 

21:46:45.426 [main] INFO  com.solvd.itcompany.Runner - name
21:46:45.426 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
21:46:45.426 [main] INFO  com.solvd.itcompany.Runner - employees
21:46:45.427 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
21:46:45.427 [main] INFO  com.solvd.itcompany.Runner - clients
21:46:45.427 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
21:46:45.427 [main] INFO  com.solvd.itcompany.Runner - projects
21:46:45.427 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
21:46:45.427 [main] INFO  com.solvd.itcompany.Runner - projectStatus
21:46:45.427 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private
21:46:45.427 [main] INFO  com.solvd.itcompany.Runner - logger
21:46:45.427 [main] INFO  com.solvd.itcompany.Runner - Field Modifiers: private static final
21:46:45.428 [main] INFO  com.solvd.itcompany.Runner - Method Modifiers: public
21:46:45.428 [main] INFO  com.solvd.itcompany.Runner - Return Type: java.lang.String
21:46:45.428 [main] INFO  com.solvd.itcompany.Runner - Method name: getName
21:46:45.428 [main] INFO  com.solvd.itcompany.Runner - Parameters: 
21:46:45.428 [main] INFO  com.solvd.itcompany.Runner - Method Modifiers: public
21:46:45.428 [main] INFO  com.solvd.itcompany.Runner - Return Type: void
21:46:45.428 [main] INFO  com.solvd.itcompany.Runner - Method name: setName
21:46:45.428 [main] INFO  com.solvd.itcompany.Runner - Parameters: 
21:46:45.428 [main] INFO  com.solvd.itcompany.Runner -  java.lang.String
21:46:45.428 [main] INFO  com.solvd.itcompany.Runner - Method Modifiers: public
21:46:45.429 [main] INFO  com.solvd.itcompany.Runner - Return Type: void
21:46:45.429 [main] INFO  com.solvd.itcompany.Runner - Method name: setEmployees
21:46:45.429 [main] INFO  com.solvd.itcompany.Runner - Parameters: 
