21:16:09.000 [main] INFO  com.solvd.itcompany.Runner - The name of the constructor: com.solvd.itcompany.ITCompany
21:16:09.001 [main] INFO  com.solvd.itcompany.Runner - The fields of the class: 

21:16:09.001 [main] INFO  com.solvd.itcompany.Runner - name
21:16:09.001 [main] INFO  com.solvd.itcompany.Runner - employees
21:16:09.001 [main] INFO  com.solvd.itcompany.Runner - clients
21:16:09.001 [main] INFO  com.solvd.itcompany.Runner - projects
21:16:09.001 [main] INFO  com.solvd.itcompany.Runner - projectStatus
21:16:09.002 [main] INFO  com.solvd.itcompany.Runner - logger
21:16:09.002 [main] INFO  com.solvd.itcompany.Runner - Modifiers: public
21:16:09.002 [main] INFO  com.solvd.itcompany.Runner - Return Type: java.lang.String
21:16:09.002 [main] INFO  com.solvd.itcompany.Runner - Method name: getName
21:16:09.002 [main] INFO  com.solvd.itcompany.Runner - Parameters: 
21:16:09.002 [main] INFO  com.solvd.itcompany.Runner - Modifiers: public
21:16:09.002 [main] INFO  com.solvd.itcompany.Runner - Return Type: void
21:16:09.002 [main] INFO  com.solvd.itcompany.Runner - Method name: setName
21:16:09.002 [main] INFO  com.solvd.itcompany.Runner - Parameters: 
21:16:09.002 [main] INFO  com.solvd.itcompany.Runner -  java.lang.String
21:16:09.003 [main] INFO  com.solvd.itcompany.Runner - Modifiers: public
21:16:09.003 [main] INFO  com.solvd.itcompany.Runner - Return Type: java.util.ArrayList
21:16:09.003 [main] INFO  com.solvd.itcompany.Runner - Method name: getEmployees
21:16:09.003 [main] INFO  com.solvd.itcompany.Runner - Parameters: 
21:16:09.003 [main] INFO  com.solvd.itcompany.Runner - Modifiers: public
21:16:09.003 [main] INFO  com.solvd.itcompany.Runner - Return Type: void
21:16:09.003 [main] INFO  com.solvd.itcompany.Runner - Method name: setEmployees
21:16:09.003 [main] INFO  com.solvd.itcompany.Runner - Parameters: 
21:16:09.003 [main] INFO  com.solvd.itcompany.Runner -  java.util.ArrayList
21:16:09.003 [main] INFO  com.solvd.itcompany.Runner - Modifiers: public final
21:16:09.003 [main] INFO  com.solvd.itcompany.Runner - Return Type: void
